id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
120,BPL-2012,Chattogram,02-12-2010,Comilla Victorians,Rangpur Riders,Rangpur Riders,bat,normal,0,Comilla Victorians,0,1,Sunil Narine,Zahur Ahmed Chowdhury Stadium,Gazi Sohel,Masudur Rahman
121,BPL-2013,Khulna,07-02-2010,Barishal Bulls,Sylhet Strikers,Barishal Bulls,field,normal,0,Sylhet Strikers,99,0,David Miller,Sheikh Abu Naser Stadium,Masudur Rahman,Gazi Sohel
122,BPL-2013,Rangpur,18-01-2010,Rangpur Riders,Comilla Victorians,Comilla Victorians,field,normal,0,Comilla Victorians,0,5,Benny Howell,Rangpur Cricket Garden,Sharfuddoula,Masudur Rahman
123,BPL-2013,Khulna,18-09-2010,Rangpur Riders,Sylhet Strikers,Rangpur Riders,field,normal,0,Sylhet Strikers,12,0,Mohammad Mithun,Sheikh Abu Naser Stadium,Tanvir Ahmed,Mahfuzur Rahman
124,BPL-2013,Chattogram,20-11-2010,Rajshahi Kings,Barishal Bulls,Rajshahi Kings,field,normal,0,Barishal Bulls,0,7,David Miller,Zahur Ahmed Chowdhury Stadium,Masudur Rahman,Tanvir Ahmed
125,BPL-2013,Sylhet,22-04-2010,Chattogram Challengers,Comilla Victorians,Comilla Victorians,field,normal,0,Comilla Victorians,0,6,Chris Gayle,Sylhet International Cricket Stadium,Gazi Sohel,Sharfuddoula
126,BPL-2013,Khulna,27-03-2010,Khulna Tigers,Sylhet Strikers,Sylhet Strikers,bat,normal,0,Sylhet Strikers,9,0,Yasir Ali,Sheikh Abu Naser Stadium,Sharfuddoula,Mahfuzur Rahman
127,BPL-2013,Rangpur,21-04-2010,Dhaka Dominators,Rangpur Riders,Dhaka Dominators,bat,normal,0,Rangpur Riders,69,0,Shakib Al Hasan,Rangpur Cricket Garden,Mahfuzur Rahman,Sharfuddoula
128,BPL-2013,Chattogram,21-07-2010,Khulna Tigers,Sylhet Strikers,Khulna Tigers,bat,normal,0,Khulna Tigers,0,9,Yasir Ali,Zahur Ahmed Chowdhury Stadium,Gazi Sohel,Mahfuzur Rahman
129,BPL-2013,Sylhet,08-11-2010,Dhaka Dominators,Rangpur Riders,Rangpur Riders,field,normal,0,Rangpur Riders,0,1,Mohammad Nabi,Sylhet International Cricket Stadium,Sharfuddoula,Mahfuzur Rahman
130,BPL-2013,Dhaka,10-06-2010,Dhaka Dominators,Rangpur Riders,Dhaka Dominators,field,normal,0,Rangpur Riders,0,3,Shoaib Malik,Shere Bangla National Stadium,Tanvir Ahmed,Masudur Rahman
131,BPL-2013,Khulna,14-10-2010,Khulna Tigers,Rajshahi Kings,Khulna Tigers,field,normal,0,Rajshahi Kings,0,5,Soumya Sarkar,Sheikh Abu Naser Stadium,Gazi Sohel,Masudur Rahman
132,BPL-2013,Barishal,27-02-2010,Rajshahi Kings,Rangpur Riders,Rajshahi Kings,bat,normal,0,Rangpur Riders,56,0,Shoaib Malik,Barishal Divisional Stadium,Gazi Sohel,Sharfuddoula
133,BPL-2013,Khulna,09-02-2010,Barishal Bulls,Dhaka Dominators,Barishal Bulls,field,normal,0,Barishal Bulls,0,10,Tamim Iqbal,Sheikh Abu Naser Stadium,Sharfuddoula,Tanvir Ahmed
134,BPL-2013,Sylhet,09-12-2010,Dhaka Dominators,Khulna Tigers,Khulna Tigers,bat,normal,0,Dhaka Dominators,0,9,Anamul Haque,Sylhet International Cricket Stadium,Sharfuddoula,Masudur Rahman
135,BPL-2013,Rangpur,21-12-2010,Chattogram Challengers,Comilla Victorians,Comilla Victorians,field,normal,0,Chattogram Challengers,0,2,Faf du Plessis,Rangpur Cricket Garden,Tanvir Ahmed,Gazi Sohel
136,BPL-2013,Barishal,27-10-2010,Sylhet Strikers,Rajshahi Kings,Rajshahi Kings,field,normal,0,Rajshahi Kings,0,10,Mohammad Mithun,Barishal Divisional Stadium,Tanvir Ahmed,Mahfuzur Rahman
137,BPL-2013,Rangpur,27-05-2010,Comilla Victorians,Sylhet Strikers,Sylhet Strikers,bat,normal,0,Sylhet Strikers,0,7,Sunil Narine,Rangpur Cricket Garden,Masudur Rahman,Sharfuddoula
138,BPL-2013,Chattogram,23-10-2010,Comilla Victorians,Chattogram Challengers,Comilla Victorians,bat,normal,0,Comilla Victorians,22,0,Sunil Narine,Zahur Ahmed Chowdhury Stadium,Mahfuzur Rahman,Gazi Sohel
139,BPL-2013,Rangpur,17-03-2010,Rangpur Riders,Barishal Bulls,Barishal Bulls,field,normal,0,Rangpur Riders,0,6,Mohammad Nabi,Rangpur Cricket Garden,Sharfuddoula,Tanvir Ahmed
140,BPL-2013,Rangpur,14-05-2010,Chattogram Challengers,Dhaka Dominators,Chattogram Challengers,bat,normal,0,Dhaka Dominators,0,6,Mahmudullah,Rangpur Cricket Garden,Masudur Rahman,Tanvir Ahmed
141,BPL-2013,Dhaka,17-09-2010,Dhaka Dominators,Barishal Bulls,Barishal Bulls,bat,normal,0,Barishal Bulls,6,0,Mushfiqur Rahim,Shere Bangla National Stadium,Gazi Sohel,Masudur Rahman
142,BPL-2013,Rangpur,11-01-2010,Rajshahi Kings,Barishal Bulls,Rajshahi Kings,field,normal,0,Rajshahi Kings,10,0,David Miller,Rangpur Cricket Garden,Tanvir Ahmed,Sharfuddoula
143,BPL-2013,Dhaka,19-03-2010,Chattogram Challengers,Comilla Victorians,Comilla Victorians,field,normal,0,Chattogram Challengers,0,6,Nasum Ahmed,Shere Bangla National Stadium,Sharfuddoula,Masudur Rahman
144,BPL-2013,Dhaka,26-11-2010,Rajshahi Kings,Barishal Bulls,Rajshahi Kings,field,normal,0,Rajshahi Kings,60,0,Kamrul Islam Rabbi,Shere Bangla National Stadium,Gazi Sohel,Tanvir Ahmed
145,BPL-2013,Chattogram,22-09-2010,Dhaka Dominators,Comilla Victorians,Dhaka Dominators,field,normal,0,Dhaka Dominators,0,3,Sunil Narine,Zahur Ahmed Chowdhury Stadium,Sharfuddoula,Mahfuzur Rahman
146,BPL-2013,Khulna,21-03-2010,Barishal Bulls,Sylhet Strikers,Barishal Bulls,bat,normal,0,Barishal Bulls,91,0,Mustafizur Rahman,Sheikh Abu Naser Stadium,Tanvir Ahmed,Masudur Rahman
147,BPL-2013,Dhaka,31-12-2010,Khulna Tigers,Chattogram Challengers,Chattogram Challengers,bat,normal,0,Khulna Tigers,27,0,Afif Hossain,Shere Bangla National Stadium,Masudur Rahman,Sharfuddoula
148,BPL-2013,Rangpur,11-12-2010,Sylhet Strikers,Khulna Tigers,Khulna Tigers,bat,normal,0,Sylhet Strikers,17,0,Shahid Afridi,Rangpur Cricket Garden,Gazi Sohel,Mahfuzur Rahman
149,BPL-2013,Sylhet,08-09-2010,Rajshahi Kings,Khulna Tigers,Rajshahi Kings,bat,normal,0,Khulna Tigers,0,3,Soumya Sarkar,Sylhet International Cricket Stadium,Sharfuddoula,Tanvir Ahmed
150,BPL-2013,Chattogram,04-10-2010,Sylhet Strikers,Rangpur Riders,Rangpur Riders,field,normal,0,Sylhet Strikers,0,6,Colin Munro,Zahur Ahmed Chowdhury Stadium,Masudur Rahman,Mahfuzur Rahman
151,BPL-2013,Dhaka,24-02-2010,Rangpur Riders,Rajshahi Kings,Rajshahi Kings,bat,normal,0,Rangpur Riders,21,0,Soumya Sarkar,Shere Bangla National Stadium,Tanvir Ahmed,Sharfuddoula
152,BPL-2013,Barishal,26-10-2010,Comilla Victorians,Chattogram Challengers,Chattogram Challengers,bat,normal,0,Chattogram Challengers,0,7,Imrul Kayes,Barishal Divisional Stadium,Mahfuzur Rahman,Gazi Sohel
153,BPL-2013,Sylhet,21-11-2010,Barishal Bulls,Comilla Victorians,Comilla Victorians,bat,normal,0,Barishal Bulls,0,3,Faf du Plessis,Sylhet International Cricket Stadium,Tanvir Ahmed,Masudur Rahman
154,BPL-2013,Dhaka,17-04-2010,Comilla Victorians,Chattogram Challengers,Comilla Victorians,bat,normal,0,Comilla Victorians,80,0,Nasum Ahmed,Shere Bangla National Stadium,Sharfuddoula,Gazi Sohel
155,BPL-2013,Barishal,06-01-2010,Khulna Tigers,Barishal Bulls,Khulna Tigers,bat,normal,0,Khulna Tigers,82,0,Shahid Afridi,Barishal Divisional Stadium,Mahfuzur Rahman,Sharfuddoula
156,BPL-2013,Khulna,21-11-2010,Chattogram Challengers,Comilla Victorians,Comilla Victorians,bat,normal,0,Comilla Victorians,0,8,Afif Hossain,Sheikh Abu Naser Stadium,Masudur Rahman,Mahfuzur Rahman
157,BPL-2013,Rangpur,20-06-2010,Barishal Bulls,Rangpur Riders,Barishal Bulls,bat,normal,0,Rangpur Riders,70,0,Dwayne Bravo,Rangpur Cricket Garden,Mahfuzur Rahman,Sharfuddoula
158,BPL-2013,Chattogram,15-01-2010,Rangpur Riders,Rajshahi Kings,Rajshahi Kings,field,normal,0,Rangpur Riders,0,3,Lendl Simmons,Zahur Ahmed Chowdhury Stadium,Masudur Rahman,Gazi Sohel
159,BPL-2013,Barishal,16-05-2010,Khulna Tigers,Rangpur Riders,Rangpur Riders,bat,normal,0,Khulna Tigers,0,4,Andre Russell,Barishal Divisional Stadium,Sharfuddoula,Mahfuzur Rahman
160,BPL-2013,Rangpur,10-08-2010,Dhaka Dominators,Sylhet Strikers,Dhaka Dominators,bat,normal,0,Sylhet Strikers,52,0,Shakib Al Hasan,Rangpur Cricket Garden,Gazi Sohel,Tanvir Ahmed
161,BPL-2014,Barishal,04-09-2010,Chattogram Challengers,Rajshahi Kings,Rajshahi Kings,field,normal,0,Chattogram Challengers,0,3,Afif Hossain,Barishal Divisional Stadium,Sharfuddoula,Mahfuzur Rahman
162,BPL-2014,Rangpur,04-11-2010,Rangpur Riders,Barishal Bulls,Barishal Bulls,field,normal,0,Rangpur Riders,0,3,Jason Roy,Rangpur Cricket Garden,Sharfuddoula,Gazi Sohel
163,BPL-2014,Rangpur,03-09-2010,Comilla Victorians,Khulna Tigers,Khulna Tigers,bat,normal,0,Khulna Tigers,0,2,Litton Das,Rangpur Cricket Garden,Gazi Sohel,Masudur Rahman
164,BPL-2014,Khulna,09-07-2010,Sylhet Strikers,Chattogram Challengers,Sylhet Strikers,field,normal,0,Chattogram Challengers,0,7,Nasum Ahmed,Sheikh Abu Naser Stadium,Gazi Sohel,Mahfuzur Rahman
165,BPL-2014,Rangpur,26-12-2010,Khulna Tigers,Comilla Victorians,Comilla Victorians,bat,normal,0,Comilla Victorians,15,0,Yasir Ali,Rangpur Cricket Garden,Sharfuddoula,Mahfuzur Rahman
166,BPL-2014,Dhaka,30-04-2010,Comilla Victorians,Sylhet Strikers,Comilla Victorians,bat,normal,0,Sylhet Strikers,83,0,Litton Das,Shere Bangla National Stadium,Sharfuddoula,Gazi Sohel
167,BPL-2014,Dhaka,20-06-2010,Khulna Tigers,Rajshahi Kings,Rajshahi Kings,bat,normal,0,Khulna Tigers,18,0,Andre Russell,Shere Bangla National Stadium,Masudur Rahman,Sharfuddoula
168,BPL-2014,Khulna,17-03-2010,Comilla Victorians,Sylhet Strikers,Comilla Victorians,field,normal,0,Sylhet Strikers,0,8,Imrul Kayes,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Masudur Rahman
169,BPL-2014,Sylhet,13-05-2010,Chattogram Challengers,Barishal Bulls,Barishal Bulls,field,normal,0,Barishal Bulls,82,0,Mustafizur Rahman,Sylhet International Cricket Stadium,Tanvir Ahmed,Masudur Rahman
170,BPL-2014,Chattogram,23-04-2010,Rangpur Riders,Rajshahi Kings,Rajshahi Kings,bat,normal,0,Rangpur Riders,76,0,Mohammad Nabi,Zahur Ahmed Chowdhury Stadium,Tanvir Ahmed,Mahfuzur Rahman
171,BPL-2014,Barishal,17-12-2010,Comilla Victorians,Barishal Bulls,Barishal Bulls,bat,normal,0,Comilla Victorians,0,9,Dwayne Bravo,Barishal Divisional Stadium,Gazi Sohel,Masudur Rahman
172,BPL-2014,Chattogram,03-11-2010,Rangpur Riders,Sylhet Strikers,Sylhet Strikers,field,normal,0,Sylhet Strikers,23,0,Mohammad Nabi,Zahur Ahmed Chowdhury Stadium,Masudur Rahman,Sharfuddoula
173,BPL-2014,Dhaka,24-10-2010,Dhaka Dominators,Rajshahi Kings,Rajshahi Kings,bat,normal,0,Dhaka Dominators,79,0,Mujeeb Ur Rahman,Shere Bangla National Stadium,Sharfuddoula,Tanvir Ahmed
174,BPL-2014,Sylhet,25-11-2010,Barishal Bulls,Dhaka Dominators,Barishal Bulls,bat,normal,0,Barishal Bulls,28,0,Shamsur Rahman,Sylhet International Cricket Stadium,Sharfuddoula,Gazi Sohel
175,BPL-2014,Rangpur,15-09-2010,Comilla Victorians,Rangpur Riders,Rangpur Riders,field,normal,0,Comilla Victorians,50,0,Imrul Kayes,Rangpur Cricket Garden,Sharfuddoula,Mahfuzur Rahman
176,BPL-2014,Dhaka,06-05-2010,Rajshahi Kings,Comilla Victorians,Comilla Victorians,bat,normal,0,Rajshahi Kings,0,2,Kamrul Islam Rabbi,Shere Bangla National Stadium,Mahfuzur Rahman,Tanvir Ahmed
177,BPL-2014,Khulna,04-12-2010,Chattogram Challengers,Khulna Tigers,Chattogram Challengers,field,normal,0,Khulna Tigers,0,2,Anamul Haque,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Masudur Rahman
178,BPL-2014,Khulna,28-05-2010,Comilla Victorians,Rajshahi Kings,Rajshahi Kings,field,normal,0,Rajshahi Kings,0,5,Faf du Plessis,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Gazi Sohel
179,BPL-2014,Khulna,29-07-2010,Dhaka Dominators,Comilla Victorians,Comilla Victorians,bat,normal,0,Dhaka Dominators,88,0,Litton Das,Sheikh Abu Naser Stadium,Masudur Rahman,Mahfuzur Rahman
180,BPL-2014,Chattogram,28-02-2010,Khulna Tigers,Dhaka Dominators,Khulna Tigers,bat,normal,0,Dhaka Dominators,96,0,Andre Russell,Zahur Ahmed Chowdhury Stadium,Masudur Rahman,Mahfuzur Rahman
181,BPL-2014,Dhaka,23-08-2010,Khulna Tigers,Rangpur Riders,Khulna Tigers,field,normal,0,Rangpur Riders,67,0,Anamul Haque,Shere Bangla National Stadium,Tanvir Ahmed,Mahfuzur Rahman
182,BPL-2014,Dhaka,06-04-2010,Sylhet Strikers,Rajshahi Kings,Sylhet Strikers,field,normal,0,Rajshahi Kings,73,0,Mashrafe Mortaza,Shere Bangla National Stadium,Sharfuddoula,Tanvir Ahmed
183,BPL-2014,Rangpur,10-09-2010,Rajshahi Kings,Dhaka Dominators,Rajshahi Kings,bat,normal,0,Rajshahi Kings,0,9,Mushfiqur Rahim,Rangpur Cricket Garden,Masudur Rahman,Tanvir Ahmed
184,BPL-2014,Barishal,09-05-2010,Dhaka Dominators,Rangpur Riders,Dhaka Dominators,field,normal,0,Dhaka Dominators,24,0,Shakib Al Hasan,Barishal Divisional Stadium,Sharfuddoula,Mahfuzur Rahman
185,BPL-2014,Khulna,22-02-2010,Rangpur Riders,Rajshahi Kings,Rangpur Riders,bat,normal,0,Rajshahi Kings,39,0,Lendl Simmons,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Sharfuddoula
186,BPL-2014,Dhaka,16-12-2010,Rangpur Riders,Barishal Bulls,Rangpur Riders,bat,normal,0,Rangpur Riders,0,7,Shoaib Malik,Shere Bangla National Stadium,Tanvir Ahmed,Masudur Rahman
187,BPL-2014,Barishal,15-11-2010,Barishal Bulls,Dhaka Dominators,Dhaka Dominators,field,normal,0,Dhaka Dominators,0,9,Tamim Iqbal,Barishal Divisional Stadium,Sharfuddoula,Gazi Sohel
188,BPL-2014,Dhaka,06-02-2010,Comilla Victorians,Rangpur Riders,Rangpur Riders,bat,normal,0,Rangpur Riders,0,8,Sunil Narine,Shere Bangla National Stadium,Gazi Sohel,Sharfuddoula
189,BPL-2014,Dhaka,12-12-2010,Dhaka Dominators,Rangpur Riders,Dhaka Dominators,field,normal,0,Rangpur Riders,44,0,Shoaib Malik,Shere Bangla National Stadium,Mahfuzur Rahman,Tanvir Ahmed
190,BPL-2014,Dhaka,04-04-2010,Comilla Victorians,Rangpur Riders,Rangpur Riders,bat,normal,0,Comilla Victorians,0,5,Jason Roy,Shere Bangla National Stadium,Gazi Sohel,Sharfuddoula
191,BPL-2014,Chattogram,20-10-2010,Khulna Tigers,Comilla Victorians,Comilla Victorians,field,normal,0,Khulna Tigers,0,2,Shahid Afridi,Zahur Ahmed Chowdhury Stadium,Masudur Rahman,Gazi Sohel
192,BPL-2014,Sylhet,28-05-2010,Chattogram Challengers,Khulna Tigers,Khulna Tigers,field,normal,0,Khulna Tigers,61,0,Chris Gayle,Sylhet International Cricket Stadium,Mahfuzur Rahman,Tanvir Ahmed
193,BPL-2014,Barishal,02-02-2010,Rangpur Riders,Comilla Victorians,Rangpur Riders,bat,normal,0,Comilla Victorians,0,4,Faf du Plessis,Barishal Divisional Stadium,Tanvir Ahmed,Mahfuzur Rahman
194,BPL-2014,Barishal,08-10-2010,Dhaka Dominators,Rajshahi Kings,Rajshahi Kings,bat,normal,0,Rajshahi Kings,52,0,Mahmudullah,Barishal Divisional Stadium,Masudur Rahman,Sharfuddoula
195,BPL-2014,Dhaka,31-01-2010,Chattogram Challengers,Rajshahi Kings,Rajshahi Kings,bat,normal,0,Chattogram Challengers,0,10,Mujeeb Ur Rahman,Shere Bangla National Stadium,Mahfuzur Rahman,Tanvir Ahmed
196,BPL-2014,Rangpur,30-04-2010,Chattogram Challengers,Barishal Bulls,Chattogram Challengers,field,normal,0,Chattogram Challengers,10,0,David Miller,Rangpur Cricket Garden,Gazi Sohel,Masudur Rahman
197,BPL-2014,Sylhet,01-12-2010,Dhaka Dominators,Rangpur Riders,Dhaka Dominators,bat,normal,0,Dhaka Dominators,0,4,Benny Howell,Sylhet International Cricket Stadium,Masudur Rahman,Gazi Sohel
198,BPL-2014,Khulna,03-08-2010,Rajshahi Kings,Comilla Victorians,Comilla Victorians,field,normal,0,Rajshahi Kings,87,0,Imrul Kayes,Sheikh Abu Naser Stadium,Tanvir Ahmed,Masudur Rahman
199,BPL-2014,Sylhet,03-02-2010,Khulna Tigers,Sylhet Strikers,Khulna Tigers,field,normal,0,Sylhet Strikers,0,5,Yasir Ali,Sylhet International Cricket Stadium,Tanvir Ahmed,Masudur Rahman
200,BPL-2014,Rangpur,10-08-2010,Barishal Bulls,Sylhet Strikers,Barishal Bulls,field,normal,0,Sylhet Strikers,55,0,Shamsur Rahman,Rangpur Cricket Garden,Masudur Rahman,Mahfuzur Rahman
201,BPL-2015,Dhaka,09-06-2010,Comilla Victorians,Barishal Bulls,Barishal Bulls,field,normal,0,Barishal Bulls,0,9,David Miller,Shere Bangla National Stadium,Mahfuzur Rahman,Masudur Rahman
202,BPL-2015,Barishal,22-08-2010,Sylhet Strikers,Barishal Bulls,Barishal Bulls,field,normal,0,Barishal Bulls,0,9,David Miller,Barishal Divisional Stadium,Tanvir Ahmed,Mahfuzur Rahman
203,BPL-2015,Chattogram,05-07-2010,Sylhet Strikers,Comilla Victorians,Comilla Victorians,field,normal,0,Comilla Victorians,0,10,Litton Das,Zahur Ahmed Chowdhury Stadium,Tanvir Ahmed,Sharfuddoula
204,BPL-2015,Chattogram,25-03-2010,Barishal Bulls,Sylhet Strikers,Barishal Bulls,field,normal,0,Sylhet Strikers,22,0,Shamsur Rahman,Zahur Ahmed Chowdhury Stadium,Tanvir Ahmed,Mahfuzur Rahman
205,BPL-2015,Chattogram,13-12-2010,Khulna Tigers,Barishal Bulls,Khulna Tigers,field,normal,0,Khulna Tigers,93,0,Dwayne Bravo,Zahur Ahmed Chowdhury Stadium,Masudur Rahman,Mahfuzur Rahman
206,BPL-2015,Sylhet,19-10-2010,Chattogram Challengers,Comilla Victorians,Chattogram Challengers,bat,normal,0,Comilla Victorians,48,0,Chris Gayle,Sylhet International Cricket Stadium,Mahfuzur Rahman,Masudur Rahman
207,BPL-2015,Sylhet,05-10-2010,Khulna Tigers,Comilla Victorians,Khulna Tigers,field,normal,0,Comilla Victorians,0,4,Faf du Plessis,Sylhet International Cricket Stadium,Tanvir Ahmed,Gazi Sohel
208,BPL-2015,Rangpur,12-11-2010,Chattogram Challengers,Rajshahi Kings,Rajshahi Kings,bat,normal,0,Chattogram Challengers,0,6,Afif Hossain,Rangpur Cricket Garden,Tanvir Ahmed,Sharfuddoula
209,BPL-2015,Khulna,02-01-2010,Rangpur Riders,Dhaka Dominators,Rangpur Riders,field,normal,0,Dhaka Dominators,50,0,Shoaib Malik,Sheikh Abu Naser Stadium,Sharfuddoula,Mahfuzur Rahman
210,BPL-2015,Khulna,01-01-2010,Dhaka Dominators,Comilla Victorians,Comilla Victorians,bat,normal,0,Comilla Victorians,0,4,Mahmudullah,Sheikh Abu Naser Stadium,Sharfuddoula,Masudur Rahman
211,BPL-2015,Barishal,12-02-2010,Chattogram Challengers,Comilla Victorians,Chattogram Challengers,field,normal,0,Chattogram Challengers,49,0,Nasum Ahmed,Barishal Divisional Stadium,Tanvir Ahmed,Sharfuddoula
212,BPL-2015,Barishal,28-11-2010,Khulna Tigers,Chattogram Challengers,Chattogram Challengers,bat,normal,0,Khulna Tigers,0,4,Yasir Ali,Barishal Divisional Stadium,Sharfuddoula,Gazi Sohel
213,BPL-2015,Chattogram,03-08-2010,Khulna Tigers,Sylhet Strikers,Khulna Tigers,bat,normal,0,Sylhet Strikers,93,0,Mohammad Mithun,Zahur Ahmed Chowdhury Stadium,Masudur Rahman,Mahfuzur Rahman
214,BPL-2015,Barishal,23-07-2010,Khulna Tigers,Comilla Victorians,Khulna Tigers,field,normal,0,Comilla Victorians,16,0,Andre Russell,Barishal Divisional Stadium,Masudur Rahman,Gazi Sohel
215,BPL-2015,Sylhet,05-01-2010,Dhaka Dominators,Khulna Tigers,Khulna Tigers,field,normal,0,Khulna Tigers,0,2,Mushfiqur Rahim,Sylhet International Cricket Stadium,Sharfuddoula,Mahfuzur Rahman
216,BPL-2015,Rangpur,19-02-2010,Barishal Bulls,Rangpur Riders,Rangpur Riders,bat,normal,0,Barishal Bulls,15,0,Jason Roy,Rangpur Cricket Garden,Mahfuzur Rahman,Gazi Sohel
217,BPL-2015,Barishal,04-08-2010,Rajshahi Kings,Barishal Bulls,Rajshahi Kings,bat,normal,0,Rajshahi Kings,0,8,Dwayne Bravo,Barishal Divisional Stadium,Sharfuddoula,Tanvir Ahmed
218,BPL-2015,Sylhet,20-01-2010,Dhaka Dominators,Comilla Victorians,Dhaka Dominators,field,normal,0,Comilla Victorians,95,0,Imrul Kayes,Sylhet International Cricket Stadium,Masudur Rahman,Tanvir Ahmed
219,BPL-2015,Sylhet,18-01-2010,Sylhet Strikers,Rajshahi Kings,Sylhet Strikers,bat,normal,0,Sylhet Strikers,0,5,Mashrafe Mortaza,Sylhet International Cricket Stadium,Gazi Sohel,Masudur Rahman
220,BPL-2015,Barishal,25-11-2010,Chattogram Challengers,Khulna Tigers,Khulna Tigers,bat,normal,0,Chattogram Challengers,0,7,Yasir Ali,Barishal Divisional Stadium,Gazi Sohel,Masudur Rahman
221,BPL-2015,Khulna,01-11-2010,Rajshahi Kings,Khulna Tigers,Rajshahi Kings,field,normal,0,Khulna Tigers,0,9,Kamrul Islam Rabbi,Sheikh Abu Naser Stadium,Tanvir Ahmed,Gazi Sohel
222,BPL-2015,Chattogram,20-07-2010,Khulna Tigers,Barishal Bulls,Barishal Bulls,field,normal,0,Barishal Bulls,0,10,Shamsur Rahman,Zahur Ahmed Chowdhury Stadium,Sharfuddoula,Tanvir Ahmed
223,BPL-2015,Khulna,01-10-2010,Khulna Tigers,Rangpur Riders,Rangpur Riders,bat,normal,0,Khulna Tigers,0,6,Benny Howell,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Tanvir Ahmed
224,BPL-2015,Khulna,24-02-2010,Sylhet Strikers,Barishal Bulls,Sylhet Strikers,bat,normal,0,Sylhet Strikers,0,2,Mashrafe Mortaza,Sheikh Abu Naser Stadium,Sharfuddoula,Tanvir Ahmed
225,BPL-2015,Rangpur,21-10-2010,Rajshahi Kings,Dhaka Dominators,Rajshahi Kings,bat,normal,0,Dhaka Dominators,92,0,Kamrul Islam Rabbi,Rangpur Cricket Garden,Mahfuzur Rahman,Tanvir Ahmed
226,BPL-2015,Sylhet,16-01-2010,Khulna Tigers,Comilla Victorians,Khulna Tigers,field,normal,0,Comilla Victorians,88,0,Yasir Ali,Sylhet International Cricket Stadium,Mahfuzur Rahman,Gazi Sohel
227,BPL-2015,Rangpur,28-01-2010,Sylhet Strikers,Khulna Tigers,Sylhet Strikers,bat,normal,0,Khulna Tigers,54,0,Mohammad Mithun,Rangpur Cricket Garden,Masudur Rahman,Tanvir Ahmed
228,BPL-2015,Dhaka,07-03-2010,Sylhet Strikers,Rajshahi Kings,Rajshahi Kings,field,normal,0,Sylhet Strikers,0,4,Najmul Hossain Shanto,Shere Bangla National Stadium,Gazi Sohel,Mahfuzur Rahman
229,BPL-2015,Khulna,29-09-2010,Barishal Bulls,Chattogram Challengers,Chattogram Challengers,bat,normal,0,Barishal Bulls,7,0,Shamsur Rahman,Sheikh Abu Naser Stadium,Sharfuddoula,Mahfuzur Rahman
230,BPL-2015,Dhaka,24-01-2010,Dhaka Dominators,Comilla Victorians,Dhaka Dominators,bat,normal,0,Comilla Victorians,0,2,Mahmudullah,Shere Bangla National Stadium,Mahfuzur Rahman,Sharfuddoula
231,BPL-2015,Khulna,16-05-2010,Rajshahi Kings,Comilla Victorians,Comilla Victorians,field,normal,0,Comilla Victorians,0,7,Lendl Simmons,Sheikh Abu Naser Stadium,Masudur Rahman,Sharfuddoula
232,BPL-2015,Dhaka,16-08-2010,Barishal Bulls,Chattogram Challengers,Chattogram Challengers,bat,normal,0,Chattogram Challengers,88,0,Mustafizur Rahman,Shere Bangla National Stadium,Mahfuzur Rahman,Tanvir Ahmed
233,BPL-2015,Dhaka,26-08-2010,Comilla Victorians,Barishal Bulls,Comilla Victorians,field,normal,0,Barishal Bulls,37,0,Sunil Narine,Shere Bangla National Stadium,Sharfuddoula,Masudur Rahman
234,BPL-2015,Dhaka,01-07-2010,Khulna Tigers,Comilla Victorians,Khulna Tigers,bat,normal,0,Comilla Victorians,0,4,Anamul Haque,Shere Bangla National Stadium,Gazi Sohel,Masudur Rahman
235,BPL-2015,Khulna,08-10-2010,Comilla Victorians,Khulna Tigers,Khulna Tigers,bat,normal,0,Khulna Tigers,0,4,Andre Russell,Sheikh Abu Naser Stadium,Mahfuzur Rahman,Tanvir Ahmed
236,BPL-2015,Chattogram,26-10-2010,Khulna Tigers,Rangpur Riders,Rangpur Riders,field,normal,0,Rangpur Riders,0,10,Shahid Afridi,Zahur Ahmed Chowdhury Stadium,Sharfuddoula,Tanvir Ahmed
237,BPL-2015,Sylhet,10-07-2010,Khulna Tigers,Comilla Victorians,Khulna Tigers,bat,normal,0,Comilla Victorians,0,8,Litton Das,Sylhet International Cricket Stadium,Gazi Sohel,Sharfuddoula
238,BPL-2015,Sylhet,03-04-2010,Comilla Victorians,Dhaka Dominators,Dhaka Dominators,bat,normal,0,Dhaka Dominators,51,0,Mushfiqur Rahim,Sylhet International Cricket Stadium,Tanvir Ahmed,Sharfuddoula
239,BPL-2015,Barishal,20-04-2010,Dhaka Dominators,Barishal Bulls,Barishal Bulls,field,normal,0,Dhaka Dominators,10,0,Dwayne Bravo,Barishal Divisional Stadium,Sharfuddoula,Gazi Sohel
240,BPL-2015,Chattogram,19-05-2010,Rangpur Riders,Comilla Victorians,Comilla Victorians,bat,normal,0,Rangpur Riders,0,6,Jason Roy,Zahur Ahmed Chowdhury Stadium,Mahfuzur Rahman,Gazi Sohel
